cnpj,abreviado,nome,classificacao
47508411083264,GPA SP,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,CIF
06057223003510,SENDAS RJ 5,SENDAS DISTRIBUIDORA S/A,CIF
47508411136562,GPA PE,COMPANHIA BRASILEIRA DE DISTRIBUICAO,CIF
45453214003096,PROFARMA CE,PROFARMA DISTR PROD FARMACEUTICOS S/A,CIF
45453214003177,PROFARMA RS,PROFARMA DISTR DE PROD FARMACEUTICOS S/A,CIF
05651966000102,D CENTER,D CENTER DISTRIBUIDORA LTDA,CIF
60605664004365,RAIA SP,RAIA S/A,CIF
60605664040671,RAIA RJ,RAIA S/A,CIF
60605664036801,RAIA PR,RAIA S/A,CIF
13419716000170,TRENDBOX,TRENDBOX SERVIÇOS DE MKT LTDA,NAO_CONSIDERAR
09187372000143,SUZANLOG,SUZANLOG LOGISTICA LTDA,NAO_CONSIDERAR
48555775000150,OBRA SOCIAL,OBRA SOCIAL N S DA GLORIA FAZ ESPERANÇA,NAO_CONSIDERAR
10605999000156,DROG POPULAR,O. BRITO DE OLIVEIRA,CIF
13463802000180,WORLD IN,WORLD IN MOTION TRANSPORTES LTDA,NAO_CONSIDERAR
05997742000408,UNIMARKA,UNIMARKA DISTRIBUIDORA S/A,CIF
13838076000132,DROG POP DIS,OTILIA B. DE OLIVEIRA,NAO_CONSIDERAR
08195158000419,GALINDO AL,GALINDO DISTRIBUIDORA E REPRESENTACAO LTDA,CIF
08195158000176,GALINDO PE,GALINDO DISTRIBUIDORA E REPRESENTAÇÃO LTDA,CIF
05439479000180,GALINDO SE,GALINDO & JD DISTRIBUIDORA LTDA ME,CIF
06152350000150,GALINDO RN,IDEALFARMA COMERCIO E REPRESENTACOES DE PRODUTOS FARMACEUTICOS LTDA,CIF
00063960004350,WM LOJA1,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960006484,WM LOJA2,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960013260,WM LOJA3,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960007103,WM LOJA4,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960006808,WM LOJA5,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960011216,WM LOJA6,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960007618,WM LOJA7,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960006646,WM LOJA8,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960008002,WM LOJA9,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960019624,WM LOJA10,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960001687,WM LOJA11,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960001091,WM LOJA12,WALMART BRASIL LTDA,NAO_CONSIDERAR
00063960003620,WM LOJA13,WALMART BRASIL LTDA,NAO_CONSIDERAR
93209765030962,WM LOJA14,WALMART BRASIL LTDA,NAO_CONSIDERAR
00904606000151,MOMENTO ENG,MOMENTO ENGENHARIA AMBIENTAL LTDA,NAO_CONSIDERAR
07216054000219,J SLEIMAN,J SLEIMAN S.A. COM DE PROD DE HIGIENE E ALIMENTOS,CIF
14469133000116,INOVATEX,INDUSTRIA DE ARTEFATOS DE BORRACHAS INOVATEX LTDA,NAO_CONSIDERAR
08966925000101,GALINDO PB,FARMAUM DOS MEDICAMENTOS LTDA,CIF
08544703000192,ROGE,ROGE COMERCIO E DISTRIBUIDORA DE COSMETICOS LTDA,FOB
07399636000105,DEC MINAS,DECMINAS DISTRIBUICAO E LOGISTICA S.A,CIF
84521053000148,TAPAJOS,TAPAJOS COMERCIO DE MEDICAMENTOS LTDA,CIF
00285753000190,VENANCIO,VENANCIO PRODUTOS FARMACEUTICOS LTDA,CIF
28763118000190,NOSSA DROG,A NOSSA DROGARIA DE CAXIAS LTDA,CIF
